Item,Price,Reviews,Image
"APPLE iPhone 14 (Starlight, 128 GB)","₹79,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)","₹79,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹89,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70
"APPLE iPhone 14 (Blue, 256 GB)","₹89,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
"APPLE iPhone 14 ((PRODUCT)RED, 256 GB)","₹89,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70
"APPLE iPhone 12 (Purple, 64 GB)","₹50,999",4.6,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70
"APPLE iPhone 14 (Midnight, 128 GB)","₹79,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
"APPLE iPhone 13 Pro Max (Alpine Green, 256 GB)","₹1,39,900",4.6,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/2/g/r/-original-imagca5kqvhuscnv.jpeg?q=70
"APPLE iPhone 12 (White, 64 GB)","₹50,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/j/f/9/apple-iphone-12-dummyapplefsn-original-imafwg8dkyh2zgrh.jpeg?q=70
"APPLE iPhone 12 (Green, 128 GB)","₹55,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dubf3nytw.jpeg?q=70
"APPLE iPhone 13 Mini (Starlight, 512 GB)","₹79,990",4.5,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/j/u/iphone-13-mini-mlkc3hn-a-apple-original-imag6vp6swvmsbnn.jpeg?q=70
"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)","₹89,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/h/7/-original-imaghx9qaepzajta.jpeg?q=70
"APPLE iPhone 14 (Blue, 512 GB)","₹1,09,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
"APPLE iPhone 12 Mini (Black, 256 GB)","₹54,999",4.5,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/p/d/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfwkfrerak.jpeg?q=70
"APPLE iPhone 12 (Black, 64 GB)","₹50,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70
"APPLE iPhone 14 Plus (Blue, 256 GB)","₹99,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70
"APPLE iPhone 12 (Blue, 128 GB)","₹55,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dpyjvgg3j.jpeg?q=70
"APPLE iPhone 12 (Red, 128 GB)","₹55,999",4.6,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/q/8/f/apple-iphone-12-dummyapplefsn-original-imafwg8dbzv8vh7t.jpeg?q=70
"APPLE iPhone 13 Pro (Gold, 128 GB)","₹1,19,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/z/h/v/iphone-13-pro-mlvq3hn-a-apple-original-imag6vpc6mx3zwhz.jpeg?q=70
"APPLE iPhone 13 Pro Max (Graphite, 128 GB)","₹1,29,900",4.6,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/3/e/o/iphone-13-pro-max-mll63hn-a-apple-original-imag6vpgwfgxdsj6.jpeg?q=70
"APPLE iPhone 14 Plus (Purple, 128 GB)","₹89,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70
"APPLE iPhone 14 (Purple, 256 GB)","₹89,900",4.6,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70
"APPLE iPhone 13 Mini ((PRODUCT)RED, 512 GB)","₹79,990",4.5,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/i/q/p/iphone-13-mini-mlke3hn-a-apple-original-imag6vp6abdxzuh8.jpeg?q=70
"APPLE iPhone 14 Plus (Midnight, 128 GB)","₹89,900",4.5,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70
